ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
209,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/dataclasses.py:548(<dictcomp>)
209,0.000,0.000,0.001,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/dataclasses.py:573(<listcomp>)
208,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/dataclasses.py:592(<listcomp>)
209,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/dataclasses.py:1043(<listcomp>)
209,0.000,0.000,0.091,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/dataclasses.py:1219(wrap)
48,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_compiler.py:31(_combine_flags)
586,0.000,0.000,0.001,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/dataclasses.py:368(field)
115,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/weakref.py:164(__setitem__)
6,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/weakref.py:495(popitem)
826,0.001,0.000,0.011,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/linecache.py:26(getline)
546,0.000,0.000,0.001,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/inspect.py:1947(_signature_get_user_defined_method)
24,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/pathlib.py:427(__init__)
185,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/pathlib.py:434(__len__)
304,0.000,0.000,0.000,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/pathlib.py:578(__eq__)
3150,0.002,0.000,0.002,0.000,/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/pathlib.py:622(name)
